AC_TYPEID,SSD_NAME,MANUFACTURER,LONG_NAME,SHORT_NAME,BEGIN_DATE,END_DATE
148,CESSNA C-337,CESSNA,CESSNA C-337 (SUPER SKY MASTER),SKYMASTR,01-01-90,9999
149,CESSNA C-401,CESSNA,CESSNA C-401,CE-C401,01-01-90,9999
150,CURTISS C46 SERIES,CURTISS-WRIGHT,CURTISS C46/20T/A/D/F/R COMMANDO,COMMANDO,01-01-90,9999
152,CESSNA C-411,CESSNA,CESSNA C-411,CE-411,01-01-90,9999
153,DHC4 CARIBOU,DEHAVILLAND OF CANADA,DEHAVILLAND DHC4 CARIBOU,CARIBOU,01-01-90,9999
158,DOUGLAS DC-2,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-2,DC-2,01-01-90,9999
159,HAMILTON B-18S,HAMILTON,HAMILTON B-18S LITTLE LINER (CONVERTED),B-18S,01-01-90,9999
160,DOUGLAS DC-3,MCDONNELL DOUGLAS,"MCDONNELL DOUGLAS DC-3/A/C,C-47/B",DC-3,01-01-90,9999
161,DORNIER DO-28,DORNIER,DORNIER DO-28 SKYSERVANT,DO-28,01-01-90,9999
166,CESSNA C-336,CESSNA,CESSNA C-336,CE-336,01-01-90,9999
167,FAIRCHILD C-82A,FAIRCHILD,FAIRCHILD C-82A,C-82A,01-01-90,9999
170,GRUMMAN G-21A,GRUMMAN,GRUMMAN G-21A (GOOSE),GOOSE,01-01-90,9999
171,GRUMMAN SA-16A-GR,GRUMMAN,GRUMMAN SA-16A-GR (ALBATROSS),ALBATRSS,01-01-90,9999
172,GRUMMAN G-44/44A,GRUMMAN,GRUMMAN G-44/44A (WIDGEON),WIDGEON,01-01-90,9999
173,GRUMMAN G-73,GRUMMAN,GRUMMAN G-73 (MALLARD),MALLARD,01-01-90,9999
174,DOVE DH-104,DEHAVILLAND OF CANADA,DEHAVILLAND DOVE DH-104,DOVE,01-01-90,9999
175,LOCKHEED L-12A,LOCKHEED,LOCKHEED L-12A/L-10/10A,L-12A,01-01-90,9999
180,MARTIN 202/202A,MARTIN,MARTIN 202/202A,M-202,01-01-90,9999
185,MARTIN 404,MARTIN,MARTIN 404,M-404,01-01-90,9999
190,PIPER PA-23,PIPER,PIPER PA-23-250 (AZTEC/APACHE),AZTEC,01-01-90,9999
193,PIPER T-1020,PIPER,PIPER T-1020,PA-T1020,01-01-90,9999
194,PIPER PA-31/T-1020,PIPER,PIPER PA-31 (NAVAJO)/T-1020,NAVAJO,01-11-96,9999
195,PIPER PA-34/39,PIPER,PIPER PA-34/39 (TWIN COMMANCHE),TWNCOMAN,01-01-90,9999
200,BOEING 377,BOEING,BOEING 377 STRATOCRUISER,B-377,01-01-90,9999
201,BN2A TRISLANDER,PILATUS BRITTEN-NORMAN,PILATUS BRITTEN-NORMAN BN2A TRISLANDER,TRISLNDR,01-01-90,9999
205,DH-114 HERON,DEHAVILLAND OF CANADA,DEHAVILLAND DH-114 HERON,HERON,01-01-90,9999
210,DOUGLAS DC-4,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-4(C54/C54A/C54B/C54E),DC-4,01-01-90,9999
216,DOUGLAS DC-6,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-6,DC-6,01-01-90,9999
218,DOUGLAS DC-6A,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-6A,DC-6A,01-01-90,9999
220,DOUGLAS DC-6B,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-6B,DC-6B,01-01-90,9999
225,DOUGLAS DC-7A/B,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-7A/B,DC-7A/B,01-01-90,9999
228,DOUGLAS DC-7C,MCDONNELL DOUGLAS,MCDONNELL DOUGLAS DC-7C,DC-7C,01-01-90,9999
240,LOCKHEED L-049,LOCKHEED,LOCKHEED L-049,L-049,01-01-90,9999
242,LOCKHEED L-649,LOCKHEED,LOCKHEED L-649,L-649,01-01-90,9999
244,LOCKHEED L-749/A,LOCKHEED,LOCKHEED L-749/749A,L-749/A,01-01-90,9999
247,LOCKHEED L-1049,LOCKHEED,LOCKHEED L-1049,L-1049,01-01-90,9999
248,LOCKHEED 1049C/D/E,LOCKHEED,LOCKHEED L-1049C/D/E,L-1049C,01-01-90,9999
252,LOCKHEED L-1049G/H,LOCKHEED,LOCKHEED L-1049G/H,L-1049G,01-01-90,9999
258,LOCKHEED L-1649A,LOCKHEED,LOCKHEED L-1649A,L-1649A,01-01-90,9999
280,SIKORSKY VS-44A,SIKORSKY,SIKORSKY VS-44A (AMPHIBIAN),VS-44A,01-01-90,9999
303,SUD ALOUETTE,SUD AVIATION,SUD ALOUETTE,ALOUETTE,01-01-90,9999
